X,Y,fid,id,left,top,right,bottom,row_index,col_index,ELEV_1
184922.790326637,5036761.41821422,203,203,184672.790326637,5037011.41821422,185172.790326637,5036511.41821422,4,6,273.650573730469
184922.790326637,5036261.41821422,204,204,184672.790326637,5036511.41821422,185172.790326637,5036011.41821422,5,6,271.435638427734
184922.790326637,5035761.41821422,205,205,184672.790326637,5036011.41821422,185172.790326637,5035511.41821422,6,6,276.779479980469
184922.790326637,5035261.41821422,206,206,184672.790326637,5035511.41821422,185172.790326637,5035011.41821422,7,6,267.714935302734
184922.790326637,5034761.41821422,207,207,184672.790326637,5035011.41821422,185172.790326637,5034511.41821422,8,6,255.327896118164
184922.790326637,5034261.41821422,208,208,184672.790326637,5034511.41821422,185172.790326637,5034011.41821422,9,6,250.749267578125
184922.790326637,5033761.41821422,209,209,184672.790326637,5034011.41821422,185172.790326637,5033511.41821422,10,6,234.608657836914
184922.790326637,5033261.41821422,210,210,184672.790326637,5033511.41821422,185172.790326637,5033011.41821422,11,6,242.283782958984
184922.790326637,5032761.41821422,211,211,184672.790326637,5033011.41821422,185172.790326637,5032511.41821422,12,6,264.710021972656
184922.790326637,5032261.41821422,212,212,184672.790326637,5032511.41821422,185172.790326637,5032011.41821422,13,6,271.429840087891
184922.790326637,5031761.41821422,213,213,184672.790326637,5032011.41821422,185172.790326637,5031511.41821422,14,6,269.052551269531
184922.790326637,5031261.41821422,214,214,184672.790326637,5031511.41821422,185172.790326637,5031011.41821422,15,6,254.419998168945
184922.790326637,5030761.41821422,215,215,184672.790326637,5031011.41821422,185172.790326637,5030511.41821422,16,6,257.5126953125
184922.790326637,5030261.41821422,216,216,184672.790326637,5030511.41821422,185172.790326637,5030011.41821422,17,6,254.990036010742
184922.790326637,5029761.41821422,217,217,184672.790326637,5030011.41821422,185172.790326637,5029511.41821422,18,6,245.30793762207
184922.790326637,5029261.41821422,218,218,184672.790326637,5029511.41821422,185172.790326637,5029011.41821422,19,6,242.070938110352
184922.790326637,5028761.41821422,219,219,184672.790326637,5029011.41821422,185172.790326637,5028511.41821422,20,6,234.905471801758
184922.790326637,5028261.41821422,220,220,184672.790326637,5028511.41821422,185172.790326637,5028011.41821422,21,6,230.242736816406
184922.790326637,5027761.41821422,221,221,184672.790326637,5028011.41821422,185172.790326637,5027511.41821422,22,6,222.546890258789
184922.790326637,5027261.41821422,222,222,184672.790326637,5027511.41821422,185172.790326637,5027011.41821422,23,6,236.732879638672
184922.790326637,5026761.41821422,223,223,184672.790326637,5027011.41821422,185172.790326637,5026511.41821422,24,6,223.416473388672
184922.790326637,5026261.41821422,224,224,184672.790326637,5026511.41821422,185172.790326637,5026011.41821422,25,6,227.487274169922
184922.790326637,5025761.41821422,225,225,184672.790326637,5026011.41821422,185172.790326637,5025511.41821422,26,6,217.322463989258
